id;currency;name;description
1;vortals Car Hill;virtual Riyal;Steel optimize
2;encoding Response Tasty;Account Soft;Plastic even-keeled
3;clear-thinking;Fresh;back RAM Chips
4;deposit generation Bulgarian;Credit Enterprise-wide Strategist;maximized indexing
5;Rubber;cross-platform Handcrafted;Cambridgeshire Senegal
6;invoice;fuchsia robust infomediaries;Mississippi Connecticut
7;Way Computers;backing Iceland;Sleek Jersey Solomon
8;Poland markets Interactions;program wireless;Cambridgeshire hack deposit
9;Director Versatile;Guatemala;Steel Rustic
10;Focused;parsing;mindshare
