id;title;content;price;city;global_rating;category_id;country_id
1;mint Principal 24/7;Games;32604;Jeremychester;27709;1;1
2;transform payment;indexing seamless virtual;18597;New Cordelia;46303;2;2
3;ROI programming Cheese;maximized Latvia Internal;31249;Lesleyberg;69987;3;3
4;infomediaries program mission-critical;invoice;17265;East Simonefurt;30242;4;4
5;Kids Loan;bleeding-edge;28421;Tampa;71832;5;5
6;Buckinghamshire yellow;Concrete auxiliary;68627;North Aureliemouth;72814;6;6
7;Global;Grocery application Gloves;66693;Lake Hilbert;97091;7;7
8;leading-edge Checking;blue virtual 24/7;31359;Melisaland;23376;8;8
9;1080p Bedfordshire scalable;Up-sized South;33339;Cassinside;51204;9;9
10;transmitting invoice Manat;Handcrafted Health quantify;2398;South Brainview;55492;10;10
