id;rating;content;created_at;user_id;recommendation_id
1;83583;deliverables XSS Guam;2021-05-19T06:09:28;1;1
2;72241;invoice protocol;2021-05-18T20:32:27;2;2
3;67965;User Jersey payment;2021-05-19T01:34:20;2;3
4;64680;Buckinghamshire;2021-05-18T17:03:15;2;4
5;16887;Organized connecting Bypass;2021-05-19T12:44:40;1;5
6;48187;Concrete wireless;2021-05-19T06:22:34;2;6
7;61301;Account interface Greens;2021-05-19T07:04:42;1;7
8;35193;Technician Industrial payment;2021-05-19T10:24:13;2;8
9;52061;Licensed hard;2021-05-19T04:50:34;2;9
10;53944;Overpass;2021-05-19T01:04:21;2;10
